ticker,date,daily_sentiment_score,method
000002.SZ,2024-12-30,-1.0,ensemble
000002.SZ,2024-12-31,0.0,ensemble
000002.SZ,2025-01-02,-1.0,ensemble
000002.SZ,2025-01-03,-1.0,ensemble
000002.SZ,2025-01-04,0.0,ensemble
000002.SZ,2025-01-06,-1.0,ensemble
000002.SZ,2025-01-07,1.0,ensemble
000002.SZ,2025-01-08,-1.0,ensemble
000002.SZ,2025-01-09,1.0,ensemble
000002.SZ,2025-01-10,0.0,ensemble
000002.SZ,2025-01-13,1.0,ensemble
000002.SZ,2025-01-14,1.0,ensemble
000002.SZ,2025-01-15,-1.0,ensemble
000002.SZ,2025-01-16,0.0,ensemble
000002.SZ,2025-01-17,1.0,ensemble
000002.SZ,2025-01-20,0.0,ensemble
000002.SZ,2025-01-21,1.0,ensemble
000002.SZ,2025-01-22,-1.0,ensemble
000002.SZ,2025-01-23,0.0,ensemble
000002.SZ,2025-01-24,0.0,ensemble
000002.SZ,2025-01-25,0.0,ensemble
000002.SZ,2025-01-27,0.0,ensemble
000002.SZ,2025-02-05,-1.0,ensemble
000002.SZ,2025-02-06,1.0,ensemble
000002.SZ,2025-02-07,0.0,ensemble
000002.SZ,2025-02-08,0.0,ensemble
000002.SZ,2025-02-10,1.0,ensemble
000002.SZ,2025-02-11,0.0,ensemble
000002.SZ,2025-02-12,1.0,ensemble
000002.SZ,2025-02-13,1.0,ensemble
000002.SZ,2025-02-14,-1.0,ensemble
000002.SZ,2025-02-17,-1.0,ensemble
000002.SZ,2025-02-18,0.0,ensemble
000002.SZ,2025-02-19,0.0,ensemble
000002.SZ,2025-02-20,-1.0,ensemble
000002.SZ,2025-02-21,1.0,ensemble
000002.SZ,2025-02-22,0.0,ensemble
000002.SZ,2025-02-24,1.0,ensemble
000002.SZ,2025-02-25,-1.0,ensemble
000002.SZ,2025-02-26,1.0,ensemble
000002.SZ,2025-02-27,1.0,ensemble
000002.SZ,2025-02-28,0.0,ensemble
000002.SZ,2025-03-03,0.0,ensemble
000002.SZ,2025-03-04,0.0,ensemble
000002.SZ,2025-03-05,-1.0,ensemble
000002.SZ,2025-03-06,1.0,ensemble
000002.SZ,2025-03-07,-1.0,ensemble
000002.SZ,2025-03-10,-1.0,ensemble
000002.SZ,2025-03-11,1.0,ensemble
000002.SZ,2025-03-12,1.0,ensemble
000002.SZ,2025-03-13,0.0,ensemble
000002.SZ,2025-03-14,0.0,ensemble
000002.SZ,2025-03-17,-1.0,ensemble
000002.SZ,2025-03-18,-1.0,ensemble
000002.SZ,2025-03-19,0.0,ensemble
000002.SZ,2025-03-20,-1.0,ensemble
000002.SZ,2025-03-21,-1.0,ensemble
000002.SZ,2025-03-24,-1.0,ensemble
000002.SZ,2025-03-25,0.0,ensemble
000002.SZ,2025-03-26,1.0,ensemble
000002.SZ,2025-03-27,-1.0,ensemble
000002.SZ,2025-03-28,-1.0,ensemble
000002.SZ,2025-03-29,0.0,ensemble
000002.SZ,2025-03-31,0.0,ensemble
000002.SZ,2025-04-01,0.020833333333333332,ensemble
000002.SZ,2025-04-02,0.0,ensemble
000002.SZ,2025-04-03,1.0,ensemble
000002.SZ,2025-04-07,-1.0,ensemble
000002.SZ,2025-04-08,1.0,ensemble
000002.SZ,2025-04-09,1.0,ensemble
000002.SZ,2025-04-10,1.0,ensemble
000002.SZ,2025-04-11,-1.0,ensemble
000002.SZ,2025-04-14,-1.0,ensemble
000002.SZ,2025-04-15,0.0,ensemble
000002.SZ,2025-04-16,0.0,ensemble
000002.SZ,2025-04-17,1.0,ensemble
000002.SZ,2025-04-18,1.0,ensemble
000002.SZ,2025-04-21,-1.0,ensemble
000002.SZ,2025-04-22,0.0,ensemble
000002.SZ,2025-04-23,-1.0,ensemble
000002.SZ,2025-04-24,1.0,ensemble
000002.SZ,2025-04-25,-1.0,ensemble
000002.SZ,2025-04-26,0.0,ensemble
000002.SZ,2025-04-28,-1.0,ensemble
000002.SZ,2025-04-29,-1.0,ensemble
000002.SZ,2025-04-30,0.0,ensemble
000002.SZ,2025-05-06,1.0,ensemble
000002.SZ,2025-05-07,0.0,ensemble
000002.SZ,2025-05-08,0.0,ensemble
000002.SZ,2025-05-09,-1.0,ensemble
000002.SZ,2025-05-12,0.0,ensemble
000002.SZ,2025-05-13,-1.0,ensemble
000002.SZ,2025-05-14,1.0,ensemble
000002.SZ,2025-05-15,0.0,ensemble
000002.SZ,2025-05-16,0.0,ensemble
000002.SZ,2025-05-19,1.0,ensemble
000002.SZ,2025-05-20,-1.0,ensemble
000002.SZ,2025-05-21,-1.0,ensemble
000002.SZ,2025-05-22,0.0,ensemble
000002.SZ,2025-05-23,-1.0,ensemble
000002.SZ,2025-05-26,0.5,ensemble
000002.SZ,2025-05-27,1.0,ensemble
000002.SZ,2025-05-28,-1.0,ensemble
000002.SZ,2025-05-29,0.0,ensemble
000002.SZ,2025-05-30,0.0,ensemble
000002.SZ,2025-06-03,-0.5,ensemble
000002.SZ,2025-06-04,0.0,ensemble
000002.SZ,2025-06-05,0.0,ensemble
000002.SZ,2025-06-06,-1.0,ensemble
000002.SZ,2025-06-07,0.0,ensemble
000002.SZ,2025-06-09,1.0,ensemble
000002.SZ,2025-06-10,0.0,ensemble
000002.SZ,2025-06-11,0.0,ensemble
000002.SZ,2025-06-12,0.0,ensemble
000002.SZ,2025-06-13,0.0,ensemble
000002.SZ,2025-06-16,1.0,ensemble
000002.SZ,2025-06-17,0.0,ensemble
000002.SZ,2025-06-18,0.0,ensemble
000002.SZ,2025-06-19,-1.0,ensemble
000002.SZ,2025-06-20,-1.0,ensemble
000002.SZ,2025-06-23,0.0,ensemble
000002.SZ,2025-06-24,0.0,ensemble
000002.SZ,2025-06-25,1.0,ensemble
000002.SZ,2025-06-26,0.0,ensemble
000002.SZ,2025-06-27,-0.5,ensemble
000002.SZ,2025-06-28,0.0,ensemble
000002.SZ,2025-06-30,0.0,ensemble
000002.SZ,2025-07-01,-1.0,ensemble
000002.SZ,2025-07-02,1.0,ensemble
000002.SZ,2025-07-03,-1.0,ensemble
000002.SZ,2025-07-04,0.0,ensemble
000002.SZ,2025-07-05,0.0,ensemble
000002.SZ,2025-07-07,1.0,ensemble
000002.SZ,2025-07-08,1.0,ensemble
000002.SZ,2025-07-09,0.5,ensemble
000002.SZ,2025-07-10,1.0,ensemble
000002.SZ,2025-07-11,1.0,ensemble
000002.SZ,2025-07-14,-1.0,ensemble
000002.SZ,2025-07-15,0.0,ensemble
000002.SZ,2025-07-16,1.0,ensemble
000002.SZ,2025-07-17,0.5,ensemble
000002.SZ,2025-07-18,0.0,ensemble
000002.SZ,2025-07-21,0.0,ensemble
000002.SZ,2025-07-22,1.0,ensemble
000002.SZ,2025-07-23,-1.0,ensemble
000002.SZ,2025-07-24,1.0,ensemble
000002.SZ,2025-07-25,-1.0,ensemble
000002.SZ,2025-07-28,1.0,ensemble
000002.SZ,2025-07-29,1.0,ensemble
000002.SZ,2025-07-30,-1.0,ensemble
000002.SZ,2025-07-31,0.0,ensemble
000002.SZ,2025-08-01,-1.0,ensemble
000002.SZ,2025-08-04,1.0,ensemble
000002.SZ,2025-08-05,1.0,ensemble
000002.SZ,2025-08-06,0.0,ensemble
000002.SZ,2025-08-07,1.0,ensemble
000002.SZ,2025-08-08,-1.0,ensemble
000002.SZ,2025-08-09,0.0,ensemble
000002.SZ,2025-08-11,-0.5,ensemble
000002.SZ,2025-08-12,1.0,ensemble
000002.SZ,2025-08-13,-1.0,ensemble
000002.SZ,2025-08-14,-1.0,ensemble
000002.SZ,2025-08-15,1.0,ensemble
000002.SZ,2025-08-16,0.0,ensemble
000002.SZ,2025-08-18,-1.0,ensemble
000002.SZ,2025-08-19,-1.0,ensemble
000002.SZ,2025-08-20,1.0,ensemble
000002.SZ,2025-08-21,1.0,ensemble
000002.SZ,2025-08-22,0.0,ensemble
000002.SZ,2025-08-23,0.0,ensemble
000002.SZ,2025-08-25,1.0,ensemble
000002.SZ,2025-08-26,1.0,ensemble
000002.SZ,2025-08-27,-1.0,ensemble
000002.SZ,2025-08-28,1.0,ensemble
000002.SZ,2025-08-29,-1.0,ensemble
000002.SZ,2025-09-01,1.0,ensemble
000002.SZ,2025-09-02,-1.0,ensemble
000002.SZ,2025-09-03,-1.0,ensemble
000002.SZ,2025-09-04,0.0,ensemble
000002.SZ,2025-09-05,1.0,ensemble
000002.SZ,2025-09-08,1.0,ensemble
000002.SZ,2025-09-09,1.0,ensemble
000002.SZ,2025-09-10,1.0,ensemble
000002.SZ,2025-09-11,1.0,ensemble
000002.SZ,2025-09-12,1.0,ensemble
000002.SZ,2025-09-15,1.0,ensemble
000002.SZ,2025-09-16,1.0,ensemble
000002.SZ,2025-09-17,0.0,ensemble
000002.SZ,2025-09-18,-1.0,ensemble
000002.SZ,2025-09-19,1.0,ensemble
000002.SZ,2025-09-22,1.0,ensemble
000002.SZ,2025-09-23,-1.0,ensemble
000002.SZ,2025-09-24,0.0,ensemble
000002.SZ,2025-09-25,0.0,ensemble
000002.SZ,2025-09-26,1.0,ensemble
000002.SZ,2025-09-29,1.0,ensemble
000002.SZ,2025-09-30,1.0,ensemble
000002.SZ,2025-10-09,-1.0,ensemble
000002.SZ,2025-10-10,0.0,ensemble
000002.SZ,2025-10-13,0.0,ensemble
000002.SZ,2025-10-14,0.0,ensemble
000002.SZ,2025-10-15,-1.0,ensemble
000002.SZ,2025-10-16,-1.0,ensemble
000002.SZ,2025-10-17,-1.0,ensemble
000002.SZ,2025-10-18,0.0,ensemble
000002.SZ,2025-10-20,1.0,ensemble
000002.SZ,2025-10-21,1.0,ensemble
000002.SZ,2025-10-22,1.0,ensemble
000002.SZ,2025-10-23,-1.0,ensemble
000002.SZ,2025-10-24,0.5,ensemble
000002.SZ,2025-10-27,-1.0,ensemble
000002.SZ,2025-10-28,0.0,ensemble
000002.SZ,2025-10-29,-1.0,ensemble
000002.SZ,2025-10-30,-0.4090909090909091,ensemble
000002.SZ,2025-10-31,-0.375,ensemble
000002.SZ,2025-11-02,0.0,ensemble
000002.SZ,2025-11-03,-0.2,ensemble
000002.SZ,2025-11-04,0.5,ensemble
000002.SZ,2025-11-05,0.0,ensemble
000002.SZ,2025-11-06,-0.6666666666666666,ensemble
000002.SZ,2025-11-07,1.0,ensemble
000002.SZ,2025-11-10,1.0,ensemble
000002.SZ,2025-11-11,0.0,ensemble
000002.SZ,2025-11-12,0.0,ensemble
000002.SZ,2025-11-13,0.0,ensemble
000002.SZ,2025-11-14,0.5,ensemble
000002.SZ,2025-11-17,1.0,ensemble
000002.SZ,2025-11-18,-1.0,ensemble
000002.SZ,2025-11-19,-0.5,ensemble
000002.SZ,2025-11-20,0.07142857142857142,ensemble
000002.SZ,2025-11-21,-0.16666666666666666,ensemble
000002.SZ,2025-11-24,-1.0,ensemble
000002.SZ,2025-11-25,0.0,ensemble
000002.SZ,2025-11-26,-0.42857142857142855,ensemble
000002.SZ,2025-11-27,0.0,ensemble
000002.SZ,2025-11-28,0.0,ensemble
000002.SZ,2025-11-29,-1.0,ensemble
000002.SZ,2025-12-01,-0.25,ensemble
000002.SZ,2025-12-02,-0.25,ensemble
000002.SZ,2025-12-03,-0.6666666666666666,ensemble
000002.SZ,2025-12-04,-1.0,ensemble
000002.SZ,2025-12-05,-0.16666666666666666,ensemble
000002.SZ,2025-12-06,0.0,ensemble
000002.SZ,2025-12-08,-0.4,ensemble
000002.SZ,2025-12-09,-0.5,ensemble
000002.SZ,2025-12-10,0.35714285714285715,ensemble
000002.SZ,2025-12-11,-0.1111111111111111,ensemble
000002.SZ,2025-12-12,0.0,ensemble
000002.SZ,2025-12-14,-0.5,ensemble
000002.SZ,2025-12-15,0.125,ensemble
000002.SZ,2025-12-16,0.0,ensemble
000002.SZ,2025-12-17,0.0,ensemble
000002.SZ,2025-12-18,-0.4375,ensemble
000002.SZ,2025-12-19,0.3333333333333333,ensemble
000002.SZ,2025-12-22,-0.1,ensemble
000002.SZ,2025-12-23,0.0,ensemble
000002.SZ,2025-12-24,0.5,ensemble
